id,title,description,link,image_link,availability,price,condition,brand,google_product_category,product_type
g4,Trio of Traditions,"Three of our most-loved blends in one elegant box — nutrient-rich Dryfruit & Seeds, tangy-sweet Chatpati Mango, and delicate Tender Coconut Vanilla Chips. A perfect introduction to Amie's handcrafted mukhwas, beautifully presented for gifting.",https://amieshomemade.com/gifting/trio-of-traditions,https://ik.imagekit.io/amieshomemade/067A4269.JPG?updatedAt=1782443782848,in stock,999.00 INR,new,Amie's Homemade,"Food, Beverages & Tobacco > Food Items > Gift Baskets",Gift Hampers
g5,The Gourmet Discovery,"A premium trio for the discerning palate — wholesome Dryfruit & Seeds, our 12-ingredient Homemade Granola, and the indulgent Almond Motichoor Ladoo. A thoughtfully curated hamper that balances everyday nourishment with a touch of celebration.",https://amieshomemade.com/gifting/the-gourmet-discovery,https://ik.imagekit.io/amieshomemade/067A4292.JPG?updatedAt=1782443782402,in stock,1499.00 INR,new,Amie's Homemade,"Food, Beverages & Tobacco > Food Items > Gift Baskets",Gift Hampers
m5,Cranberry Mix,Tart cranberries and crunchy almonds come together in this nutrient-rich blend for a naturally energizing snack. A perfect balance of wholesome goodness and refreshing flavour.,https://amieshomemade.com/shop/cranberry-mix,https://ik.imagekit.io/amieshomemade/067A4439.JPG?updatedAt=1782443772420,in stock,355.00 INR,new,Amie's Homemade,"Food, Beverages & Tobacco > Food Items > Snack Foods",Mukhwas
m2,Chatpati Mango,"Raw mango and anardana come together in this bold, chatpata mukhwas. Combining the tang of raw mango with the zesty kick of traditional churan, it delivers a refreshing, mouth-watering finish to every meal—packed with classic flavour, without the guilt.",https://amieshomemade.com/shop/chatpati-mango,https://ik.imagekit.io/amieshomemade/067A4430.JPG?updatedAt=1782443773810,in stock,264.00 INR,new,Amie's Homemade,"Food, Beverages & Tobacco > Food Items > Snack Foods",Mukhwas
m3,Black Grape & Til Goli,"Rooted in tradition, this unique blend of black grapes, black sesame, and anardana delivers a delicious balance of sweet, tangy, and nutty flavours. A wholesome mukhwas that makes every meal end on a satisfying note.",https://amieshomemade.com/shop/black-grape-til-goli,https://ik.imagekit.io/amieshomemade/067A4455.JPG?updatedAt=1782443778588,in stock,264.00 INR,new,Amie's Homemade,"Food, Beverages & Tobacco > Food Items > Snack Foods",Mukhwas
m4,Tender Coconut Vanilla Chips,"Sourced from the sun-drenched groves of Kerala, our tender coconuts are picked at peak freshness for a light, satisfying crunch. Naturally wholesome and irresistibly delicious, every bite is a tropical escape and the perfect post-meal treat.",https://amieshomemade.com/shop/tender-coconut-vanilla-chips,https://ik.imagekit.io/amieshomemade/067A4421.JPG?updatedAt=1782443772884,in stock,206.00 INR,new,Amie's Homemade,"Food, Beverages & Tobacco > Food Items > Snack Foods",Mukhwas
m10,Dryfruit and Seeds,"More than just a mukhwas, this premium blend combines roasted almonds, cashews, dates, rose petals, and wholesome seeds for the perfect balance of crunch and natural sweetness. Rich, satisfying, and crafted to keep you energized throughout the day.",https://amieshomemade.com/shop/dryfruit-and-seeds,https://ik.imagekit.io/amieshomemade/067A4467.JPG,in stock,299.00 INR,new,Amie's Homemade,"Food, Beverages & Tobacco > Food Items > Snack Foods",Mukhwas
m1,Amla Ginger,"Inspired by traditional Indian home remedies, our Amla Ginger mukhwas is a light, functional blend designed to refresh your taste and aid digestion naturally.",https://amieshomemade.com/shop/amla-ginger,https://ik.imagekit.io/amieshomemade/067A4410.JPG?updatedAt=1782443772730,in stock,165.00 INR,new,Amie's Homemade,"Food, Beverages & Tobacco > Food Items > Snack Foods",Mukhwas
m8,Date & Almond,"A perfect pairing of naturally sweet dates and crunchy almonds, this wholesome blend delivers rich flavour, satisfying texture, and lasting energy. More than just a mukhwas, it's a delicious snack and the perfect light finish to every meal.",https://amieshomemade.com/shop/date-almond,https://ik.imagekit.io/amieshomemade/067A4401.JPG?updatedAt=1782443774215,in stock,285.00 INR,new,Amie's Homemade,"Food, Beverages & Tobacco > Food Items > Snack Foods",Mukhwas
m12,Ginger Chat,"Experience the authentic taste of a traditional Indian digestive. Made with real ginger, kala namak, and roasted spices, this premium blend delivers bold flavour in every bite. With zero added sugar and no artificial ingredients, it's the perfect clean finish to every meal.",https://amieshomemade.com/shop/ginger-chat,https://ik.imagekit.io/amieshomemade/067A4389.JPG?updatedAt=1782443771109,in stock,225.00 INR,new,Amie's Homemade,"Food, Beverages & Tobacco > Food Items > Snack Foods",Mukhwas
sf3,Kharek Coconut Almond,"Rooted in Gujarati tradition, this premium blend combines sun-dried kharek, toasted coconut flakes, and whole almonds for the perfect balance of sweetness and crunch. Naturally sweetened with zero added sugar, it's a wholesome mukhwas crafted for a satisfying finish to every meal.",https://amieshomemade.com/shop/kharek-coconut-almond,https://ik.imagekit.io/amieshomemade/067A4479.JPG,in stock,285.00 INR,new,Amie's Homemade,"Food, Beverages & Tobacco > Food Items > Snack Foods",Mukhwas
m13,Digestive Crunch,"Crafted with functional ingredients for freshness and digestive comfort, every ingredient in this mukhwas is carefully chosen to support better digestion. With zero added sugar, it's a simple, delicious post-meal ritual that leaves you feeling light and balanced.",https://amieshomemade.com/shop/digestive-crunch,https://ik.imagekit.io/amieshomemade/067A4444.JPG?updatedAt=1782443771334,in stock,264.00 INR,new,Amie's Homemade,"Food, Beverages & Tobacco > Food Items > Snack Foods",Mukhwas
m9,Tender Coconut Chocolate Chips,"Handpicked from Kerala's sun-drenched groves, our tender coconuts are blended with real cocoa for a rich, chocolatey crunch. High in fibre and naturally satisfying, it's the perfect post-meal treat or an energizing snack on the go.",https://amieshomemade.com/shop/tender-coconut-chocolate-chips,https://ik.imagekit.io/amieshomemade/067A4473.JPG?updatedAt=1782443770088,out of stock,206.00 INR,new,Amie's Homemade,"Food, Beverages & Tobacco > Food Items > Snack Foods",Mukhwas
hw1,Homemade Healthy Granola,"Crafted with 12 real ingredients, our granola combines hearty rolled oats, premium walnuts, cashews, pistachios, wholesome seeds, pure peanut butter, and naturally sweet Medjool dates. With zero added sugar and no artificial ingredients, it delivers clean, wholesome nutrition to keep you energized and satisfied throughout the day. Every 100g provides 13.3g of naturally sourced plant-based protein from nuts and seeds, making it a delicious and nourishing way to start your morning.",https://amieshomemade.com/shop/homemade-healthy-granola,https://ik.imagekit.io/amieshomemade/067A3622%20(1).jpg,in stock,450.00 INR,new,Amie's Homemade,"Food, Beverages & Tobacco > Food Items > Snack Foods",Health & Wellness
sm1,Dry Fruit Milk Masala,"Bring a luxurious touch of traditional warmth to your everyday routine. This premium, nutrient-rich blend pairs rich nuts with pure saffron to turn a simple glass of warm milk into a deeply comforting treat. Made with zero added sugar and packed with natural protein, it is the perfect wholesome ritual to help your body relax at the end of a busy day.",https://amieshomemade.com/shop/dry-fruit-milk-masala,https://ik.imagekit.io/amieshomemade/067A3596%20(1).JPG?updatedAt=1782826370420,in stock,400.00 INR,new,Amie's Homemade,"Food, Beverages & Tobacco > Food Items > Snack Foods",Health & Wellness
sm2,Chai Masala,"Turn your ordinary daily tea into a rich and comforting ritual. This special homemade recipe focuses entirely on real freshness, deep spice flavor, and true authenticity. It is crafted to be completely different from regular, mass-market chai masalas, offering a unique and special way to elevate your morning cup and leave you feeling warm and refreshed.",https://amieshomemade.com/shop/chai-masala,https://ik.imagekit.io/amieshomemade/067A3534.JPG?updatedAt=1782443783661,in stock,320.00 INR,new,Amie's Homemade,"Food, Beverages & Tobacco > Food Items > Snack Foods",Health & Wellness
